variable,black_mean,white_mean,diff,std_diff,t_stat,p_value,n_black,n_white
Applicant income ($K),110.58290100097656,134.9925994873047,-24.409799575805664,-0.007000000216066837,-2.7909998893737793,0.005253000184893608,298746,2701254
Log income,4.320199966430664,4.559299945831299,-0.23909999430179596,-0.28119999170303345,-145.17599487304688,0.0,298746,2701254
Debt-to-income ratio (%),41.445499420166016,36.72359848022461,4.72189998626709,0.38589999079704285,197.8179931640625,0.0,298746,2701254
Loan-to-value ratio (%),71.62409973144531,63.983001708984375,7.64109992980957,0.2583000063896179,130.52999877929688,0.0,298746,2701254
Loan amount ($K),230006.9624,265591.7178,-35584.7553,-0.1484,-85.094,0.0,298746,2701254
Log loan amount,12.0162,12.1557,-0.1395,-0.1551,-78.868,0.0,298746,2701254
Purchase loan (=1),0.5054,0.4162,0.0892,0.1796,92.633,0.0,298746,2701254
Property value ($K),343801.09375,460351.4375,-116550.3515625,-0.28439998626708984,-188.64599609375,0.0,298746,2701254
Automated AUS (=1),0.6447,0.6718,-0.0271,-0.0571,-29.404,0.0,298746,2701254
Large lender (=1),0.9398,0.916,0.0237,0.0918,50.828,0.0,298746,2701254
Approval rate,0.6819,0.8313,-0.1493,-0.3534,-169.304,0.0,298746,2701254
