feature,role,dtype,mean,std,min,max,missing_pct
near_pmi_threshold,Covariate,Int8,0.1787,0.3831,0.0,1.0,0.0
lender_small,Covariate,Int8,0.0048,0.0688,0.0,1.0,0.0
applicant_age_mid,Covariate,Float32,47.1132,14.3843,22.0,77.0,0.0
aus_exempt,Covariate,Int8,0.2917,0.4545,0.0,1.0,0.0
lei,ID,String,,,,,0.0
log_property_val,Covariate,Float32,12.7579,0.6872,8.517393112182617,21.066858291625977,0.0
aus_automated,Covariate,Int8,0.6699,0.4703,0.0,1.0,0.0
purpose_homeimprv,Covariate,Int8,0.0758,0.2647,0.0,1.0,0.0
occ_primary,Covariate,Int8,0.9309,0.2536,0.0,1.0,0.0
tract_minority_pct,Covariate,Float32,0.0,0.0,0.0,0.0,0.0
loan_amount,Covariate,Int32,261919.1782,352552.6983,5000.0,1409715000.0,0.0
dti_high,Covariate,Int8,0.3206,0.4667,0.0,1.0,0.0
purpose_refi,Covariate,Int8,0.4151,0.4927,0.0,1.0,0.0
above_pmi,Covariate,Int8,0.361,0.4803,0.0,1.0,0.0
type_usda,Covariate,Int8,0.0092,0.0955,0.0,1.0,0.0
applicant_race_1,ID,Float32,4.8012,0.5984,3.0,5.0,0.0
type_fha,Covariate,Int8,0.1063,0.3082,0.0,1.0,0.0
post_tightening,Covariate,Int8,0.4401,0.4964,0.0,1.0,0.0
dti_midpoint,Covariate,Float32,37.1872,12.1687,15.0,65.0,0.0
purpose_purchase,Covariate,Int8,0.425,0.4943,0.0,1.0,0.0
type_va,Covariate,Int8,0.0585,0.2347,0.0,1.0,0.0
ltv,Covariate,Float32,64.767,28.8607,1.0011123418807983,199.80039978027344,0.0
low_minority_tract,Covariate,Int8,0.0,0.0,0.0,0.0,0.0
income,Covariate,Float32,147.2513,60818.3164,-711000.0,381000000.0,0.0
property_value,Covariate,Float32,448187.0625,544814.125,5000.0,1410004992.0,0.0
black,Treatment,Int32,0.0994,0.2992,0.0,1.0,0.0
high_minority_tract,Covariate,Int8,0.0,0.0,0.0,0.0,0.0
log_income,Covariate,Float32,4.5355,0.848,0.0,19.758310317993164,0.0
lender_mid,Covariate,Int8,0.077,0.2665,0.0,1.0,0.0
approved,Outcome,Int32,0.8168,0.3868,0.0,1.0,0.0
dti_missing,Covariate,Int8,0.0184,0.1344,0.0,1.0,0.0
lender_large,Covariate,Int8,0.9183,0.2739,0.0,1.0,0.0
occ_second,Covariate,Int8,0.0275,0.1635,0.0,1.0,0.0
type_conventional,Covariate,Int8,0.826,0.3791,0.0,1.0,0.0
occ_investment,Covariate,Int8,0.0416,0.1997,0.0,1.0,0.0
year,Covariate,Int32,2021.5585,1.3618,2020.0,2024.0,0.0
log_loan_amount,Covariate,Float64,12.1416,0.8809,8.517393171418904,21.06665339395573,0.0
