income_q,ltv_bin,mean_cate,median_cate,std_cate,n,se,ci_lo,ci_hi,pct_penalised
"Q1
<$60K",<=60%,-12.208355054228877,-11.682385468301067,7.86012364453383,115910,0.023087075590763305,-12.253605722386773,-12.16310438607098,95.57242688292641
"Q1
<$60K",60-70%,-9.77050525704204,-8.86688184580563,7.563547999387632,26444,0.046511676423009546,-9.861668142831139,-9.67934237125294,92.50869762517017
"Q1
<$60K",70-75%,-9.351206983040264,-8.369878781335943,7.372682477184607,16175,0.05797001138567001,-9.464828205356177,-9.23758576072435,92.66151468315302
"Q1
<$60K",75-80%,-8.949455530769958,-7.678122057737643,7.8564514275066,22054,0.05290329773685407,-9.053145994334193,-8.845765067205724,90.15144644962365
"Q1
<$60K",80-90%,-8.930112141354003,-7.599550491125495,7.475682243236945,34192,0.040428588680453174,-9.009352175167692,-8.850872107540315,91.88114178755265
"Q1
<$60K",90-100%,-6.637003905401536,-5.591835494473908,6.89016726568782,91563,0.022770352727340456,-6.681633796747123,-6.592374014055949,87.02095824732697
"Q1
<$60K",>100%,-6.563525262810118,-6.177306921181378,5.397249233629101,5916,0.07017111714365312,-6.7010606524116785,-6.425989873208557,90.90601757944557
"Q2
$60-90K",<=60%,-12.920434503143689,-12.210821417724336,8.635466585530937,96506,0.02779768635424407,-12.974917968398007,-12.86595103788937,95.41790147762833
"Q2
$60-90K",60-70%,-10.023088171130635,-8.634515967174703,7.836318241764626,25682,0.04889873723962111,-10.118929696120292,-9.927246646140977,94.08145783038704
"Q2
$60-90K",70-75%,-10.146678217903588,-8.846859730548536,7.756377874966583,17111,0.059295435513545165,-10.262897271510136,-10.03045916429704,94.97983753141254
"Q2
$60-90K",75-80%,-9.782642464552067,-8.622387328880544,8.127882646070058,25641,0.05075863623524905,-9.882129391573155,-9.683155537530979,91.85679185679186
"Q2
$60-90K",80-90%,-8.900637351522617,-6.932114213815653,8.041146982975663,34131,0.043525472480107366,-8.985947277583627,-8.815327425461607,92.35592276815798
"Q2
$60-90K",90-100%,-6.346488064328174,-4.971455870743117,6.713519985682462,89198,0.02247877952708029,-6.390546472201251,-6.302429656455097,89.46613152761273
"Q2
$60-90K",>100%,-6.614520093041129,-5.957933269796044,5.875657623189397,6760,0.07146331092542257,-6.754588182454958,-6.4744520036273006,90.32544378698225
"Q3
$90-125K",<=60%,-12.735776313449428,-11.643401390584616,8.812185376997444,100104,0.027852097627821776,-12.790366424799958,-12.681186202098898,95.51166786541995
"Q3
$90-125K",60-70%,-8.928240539640235,-7.043820721019569,8.293662427987941,27081,0.050398081669805764,-9.027020779713055,-8.829460299567415,91.85037480152135
"Q3
$90-125K",70-75%,-8.8946541663358,-7.1823404036293255,7.942955678813168,19111,0.05745666746931935,-9.007269234575665,-8.782039098095934,93.1819371042855
"Q3
$90-125K",75-80%,-8.326033124759897,-6.24089480021132,8.346739572131735,28897,0.049101016633177015,-8.422271117360925,-8.22979513215887,90.46267778662144
"Q3
$90-125K",80-90%,-7.311403936423062,-5.148132109208344,7.9139117411556885,36988,0.04114914142116956,-7.392056253608555,-7.230751619237569,88.16102519736131
"Q3
$90-125K",90-100%,-5.418074648088217,-4.06116886603124,6.354188492883216,78340,0.022702219068052705,-5.4625709974616,-5.3735782987148335,87.62956344140925
"Q3
$90-125K",>100%,-5.309367328863522,-4.42023007427125,5.568964973713717,6267,0.07034684736256458,-5.447247149694149,-5.171487508032896,87.90489867560237
"Q4
$125-180K",<=60%,-12.32945708419035,-11.304047800322483,9.124243919944883,108810,0.02766065638568427,-12.383671970706292,-12.275242197674409,94.11267346751218
"Q4
$125-180K",60-70%,-7.589660301627519,-4.983863201215173,8.768362979869336,29383,0.05115292263018814,-7.689920029982687,-7.48940057327235,86.84953884899431
"Q4
$125-180K",70-75%,-7.59452271938182,-5.392095807790839,8.27055581068401,21896,0.05589234157070901,-7.70407170886041,-7.48497372990323,88.70569967117282
"Q4
$125-180K",75-80%,-7.26786127267639,-5.013921083548906,8.165797817495601,33069,0.0449043166441375,-7.3558737332989,-7.17984881205388,89.81825879222232
"Q4
$125-180K",80-90%,-7.139406758738014,-4.990635895343944,7.622363977622412,39684,0.03826325944912292,-7.214402747258295,-7.064410770217733,90.84517689749018
"Q4
$125-180K",90-100%,-5.323874097942828,-3.8736265077066383,6.451418973250616,62238,0.025859935240782114,-5.374559571014761,-5.273188624870895,87.89324849770237
"Q4
$125-180K",>100%,-5.87055964693957,-5.005225024490917,5.504106707229164,4887,0.07873460905275267,-6.024879480682966,-5.716239813196175,91.8354818907305
"Q5
>$180K",<=60%,-11.93559356840195,-10.855546877500801,9.837265135963243,122959,0.028053962717786714,-11.990579335328812,-11.880607801475088,90.12679023088998
"Q5
>$180K",60-70%,-7.282878243876122,-4.6994281290288304,8.963952837186099,32509,0.04971618067504892,-7.380321957999218,-7.185434529753026,83.27540065827924
"Q5
>$180K",70-75%,-6.588166407400862,-4.273835417416087,8.256676891327297,25916,0.051288654269636774,-6.688692169769349,-6.487640645032374,83.48124710603489
"Q5
>$180K",75-80%,-5.983509898494653,-3.707498816494121,7.85467260954682,36401,0.04116910546420806,-6.0642013452045,-5.902818451784805,82.78618719265954
"Q5
>$180K",80-90%,-5.948669870062291,-3.9181361758474615,7.312806851774409,41286,0.035990070612064724,-6.019210408461938,-5.878129331662644,83.99215230344427
"Q5
>$180K",90-100%,-5.23713395505415,-3.777796172346844,6.201530709080145,34316,0.03347731116696171,-5.302749484941394,-5.171518425166905,87.72001398764425
"Q5
>$180K",>100%,-5.589789497893758,-4.688785930168404,5.320142670648283,2575,0.10484184674801855,-5.795279517519874,-5.384299478267642,90.40776699029126
