analysis,parameter,value,note
Oster (2019),beta_uncontrolled,-0.147078,Bivariate OLS coefficient of Black on approved
Oster (2019),r2_uncontrolled,0.012915,Bivariate R²
Oster (2019),beta_controlled,-0.10181,Full 33-feature OLS coefficient of Black on approved
Oster (2019),r2_controlled,0.154418,Full model R²
Oster (2019),delta_at_Oster_R2max,6.8698,δ at R²_max=1.3×R²_c=0.2007; interpretation: unobservables must be 6.9x observables
Oster (2019),delta_at_2x_R2max,2.0609,δ at R²_max=2.0×R²_c=0.3088
Oster (2019),delta_at_R2c+0.1,3.1825,δ at R²_max=R²_c+0.1=0.2544
Oster (2019),delta_at_R2c+0.2,1.5912,δ at R²_max=R²_c+0.2=0.3544
Cinelli-Hazlett (2020),robustness_value_zero,0.005123,Min partial-R² (both D~Z and Y~Z) to nullify effect
Cinelli-Hazlett (2020),t_stat_black_ols,-50.748,OLS t-statistic for Black coefficient (full model)
Cinelli-Hazlett (2020),partial_r2_Purpose:_Purchase,0.00793712,Observed partial R² for Purpose: Purchase
Cinelli-Hazlett (2020),partial_r2_Debt-to-income_ratio,0.00506199,Observed partial R² for Debt-to-income ratio
Cinelli-Hazlett (2020),partial_r2_AUS_type_(automated),0.00410714,Observed partial R² for AUS type (automated)
Cinelli-Hazlett (2020),partial_r2_Log_income,0.00082928,Observed partial R² for Log income
Cinelli-Hazlett (2020),partial_r2_LTV_ratio,0.00041232,Observed partial R² for LTV ratio
Cinelli-Hazlett (2020),partial_r2_Lender_size_(large),0.00011716,Observed partial R² for Lender size (large)
Cinelli-Hazlett (2020),partial_r2_Log_loan_amount,9.946e-05,Observed partial R² for Log loan amount
